id,ppq,siae,temperature_lapse_rate,refreeze_factor,pdd_factor_ice,pdd_factor_snow,pdd_std_dev,climate,climate_file,climate_modifier_file,anomaly_file
CNRM-CM5-7,0.5,1.5,6,0.5,11.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
CNRM-CM5-8,0.5,1.5,6,0.5,11.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
CNRM-CM5-9,0.6,1.5,6,0.5,9.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
CNRM-CM5-10,0.6,1.5,6,0.5,9.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
CNRM-CM5-11,0.6,1.5,6,0.5,9.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
CNRM-CM5-12,0.6,1.5,6,0.5,10.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
CNRM-CM5-13,0.6,1.5,6,0.5,10.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
CNRM-CM5-14,0.6,1.5,6,0.5,10.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
CNRM-CM5-15,0.6,1.5,6,0.5,11.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
CNRM-CM5-16,0.6,1.5,6,0.5,11.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
CNRM-CM5-17,0.6,1.5,6,0.5,11.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
GISS-E2-R-0,0.5,1.5,6,0.5,9.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-1,0.5,1.5,6,0.5,9.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-2,0.5,1.5,6,0.5,9.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-3,0.5,1.5,6,0.5,10.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-4,0.5,1.5,6,0.5,10.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-5,0.5,1.5,6,0.5,10.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-6,0.5,1.5,6,0.5,11.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-7,0.5,1.5,6,0.5,11.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-8,0.5,1.5,6,0.5,11.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-9,0.6,1.5,6,0.5,9.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-10,0.6,1.5,6,0.5,9.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-11,0.6,1.5,6,0.5,9.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-12,0.6,1.5,6,0.5,10.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-13,0.6,1.5,6,0.5,10.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-14,0.6,1.5,6,0.5,10.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-15,0.6,1.5,6,0.5,11.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-16,0.6,1.5,6,0.5,11.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
GISS-E2-R-17,0.6,1.5,6,0.5,11.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_GISS-E2-R_lgm_historical.nc
IPSL-CM5A-LR-0,0.5,1.5,6,0.5,9.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-1,0.5,1.5,6,0.5,9.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-2,0.5,1.5,6,0.5,9.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-3,0.5,1.5,6,0.5,10.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-4,0.5,1.5,6,0.5,10.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-5,0.5,1.5,6,0.5,10.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-6,0.5,1.5,6,0.5,11.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-7,0.5,1.5,6,0.5,11.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-8,0.5,1.5,6,0.5,11.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-9,0.6,1.5,6,0.5,9.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-10,0.6,1.5,6,0.5,9.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-11,0.6,1.5,6,0.5,9.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-12,0.6,1.5,6,0.5,10.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-13,0.6,1.5,6,0.5,10.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-14,0.6,1.5,6,0.5,10.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-15,0.6,1.5,6,0.5,11.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-16,0.6,1.5,6,0.5,11.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
IPSL-CM5A-LR-17,0.6,1.5,6,0.5,11.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc
